sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9486164255321674
6.9,3.1,5.1,2.3,virginica,0.9570612914027369
5.1,2.5,3.0,1.1,versicolor,0.940201820133887
4.4,2.9,,0.2,setosa,0.6459983976857189
5.9,3.0,5.1,1.8,virginica,0.7565142869904843
5.5,3.5,1.3,0.2,setosa,0.9596242694367705
5.6,,3.6,1.3,versicolor,0.9338204556882722
6.5,3.0,5.2,2.0,virginica,0.9432184119683902
5.3,3.7,1.5,0.2,setosa,0.964490098197429
5.1,3.4,1.5,,setosa,0.8182600878100832
6.1,2.8,4.0,1.3,versicolor,0.9721364649182062
5.5,2.4,3.7,1.0,versicolor,0.9713162959384588
7.7,3.0,6.1,2.3,virginica,0.9407067559216387
6.9,3.1,4.9,1.5,versicolor,0.6756883566857216
6.0,2.2,5.0,1.5,versicolor,0.49309577388309067
